Role,Divisi,Perusahaan,Lokasi,Kriteria,Slot
Data Integration Analyst,Kampus Gratis Apps - Platform Kuliah Gratis S1 & D1 bagi Kaum Marjinal di Indonesia,M-Knows Consulting,Kota Jakarta Selatan,"S1 (min semester 5), Jurusan:
1. Ilmu Komputer (programming). 
2. Statistik
3. Teknik Informatika. 
4. Sistem Informasi.
5. Sistem Komputer.


Kriteria Hard Skills
1. Mengerti penggunaan database SQL & no SQL
2. Mengembangkan dan melakukan normalisasi database 1 nf - 3 nf
3. Laravel 8 / PHP 8
4. Python, Javascript, Node JS
5. Membuat script unit test
6. Quality control on data & data storage
7. Dapat menggunakan salah satu PostgreSQL, Firebase, MySQL, MongoDB adalah bonus
8. Bisa melakukan ETL

Kriteria Soft Skills:
1. Berkolaborasi dan team work.
2. Berkomunikasi efektif: baik secara interpersonal dan digital
3. Beradaptasi.
4. Kreativitas dan improvisasi.
5. Analitis.
6. Problem Solver.
",2
UI/UX Designer,Kampus Gratis Apps - Platform Kuliah Gratis S1 & D1 bagi Kaum Marjinal di Indonesia,M-Knows Consulting,Kota Jakarta Selatan,"S1 (min semester 5), Jurusan:
1. Ilmu Komputer
2. Teknologi Rekayasa Perangkat Lunak
3. Teknik Informatika
4. Sistem Informasi
5. Desain Komunikasi Visual
6. Desain Grafis
7. atau Jurusan yang berkaitan

Kriteria Hard Skills
1. Memahami requirements dari sebuah fitur
2. Memahami design dan development processes
3. Memahami fundamental visual dan desain interaktif
4. Memahami tools pembuatan desain (Figma, Adobe XD, Photoshop, visual design dan wireframing tools)
5. UX Writing
6. Mengetahui UX Fundamental and UX Laws

Kriteria Soft Skills:
1. Berkolaborasi dan team work
2. Berkomunikasi efektif baik secara interpersonal dan digital
3. Beradaptasi
4. Kreativitas dan improvisasi
5. Analitis
6. Kreatif",4
CYBER SECURITY (Front End & Back End),Kampus Gratis Apps - Platform Kuliah Gratis S1 & D1 bagi Kaum Marjinal di Indonesia,M-Knows Consulting,Kota Jakarta Selatan,"S1 (min semester 5), FAKULTAS:
1. Ilmu Komputer (programming). 
2. Teknologi Rekayasa Perangkat Lunak. 
3. Teknik Informatika. 
4.Sistem Informasi.

Kriteria hard skills:
1. Desain UI & UX
2. Mengembangkan Back End
3. Mengembangkan  Web
4. Agile Teamwork

Kriteria Soft Skills:
1. Berkolaborasi dan team work.
2. Berkomunikasi efektif: baik secara interpersonal dan digital
3. Beradaptasi.
4. Kreativitas dan improvisasi.
5. Analitis.
",4
AI Programmer & Data Science,Kampus Gratis Apps - Platform Kuliah Gratis S1 & D1 bagi Kaum Marjinal di Indonesia,M-Knows Consulting,Kota Jakarta Selatan,"S1 (min semester 5), Jurusan:
1. Ilmu Komputer (programming)
2. Teknologi Rekayasa Perangkat Lunak
3. Teknik Informatika
4. Sistem Informasi
5. Matematika dan Ilmu Pengetahuan Alam

Kriteria hard skills:
1. C/C++ 
2. Perl
3. Python 
4. SQL
5. Java.
6. R

Kriteria Soft Skills:
1. Berkolaborasi dan team work.
2. Berkomunikasi efektif: baik secara interpersonal dan digital
3. Beradaptasi.
4. Kreativitas dan improvisasi.
5. Analitis dan detil.",11
UI/UX Designer for KG Project,Kampus Gratis Apps - Platform Kuliah Gratis S1 & D1 bagi Kaum Marjinal di Indonesia,M-Knows Consulting,Kota Jakarta Selatan,"S1 (min semester 5), Jurusan:
1. Ilmu Komputer
2. Teknologi Rekayasa Perangkat Lunak
3. Teknik Informatika
4. Sistem Informasi
5. Desain Komunikasi Visual
6. Desain Grafis
7. atau Jurusan yang berkaitan

Kriteria Hard Skills
1. Memahami requirements dari sebuah fitur
2. Memahami design dan development processes
3. Memahami fundamental visual dan desain interaktif
4. Memahami tools pembuatan desain (Figma, Adobe XD, Photoshop, visual design dan wireframing tools)
5. UX Writing
6. Mengetahui UX Fundamental and UX Laws

Kriteria Soft Skills:
1. Berkolaborasi dan team work
2. Berkomunikasi efektif baik secara interpersonal dan digital
3. Beradaptasi
4. Kreativitas dan improvisasi
5. Analitis
6. Kreatif",2
Apps Developer with Flutter (KG Project),Kampus Gratis Apps - Platform Kuliah Gratis S1 & D1 bagi Kaum Marjinal di Indonesia,M-Knows Consulting,Kota Jakarta Selatan,"S1 (min semester 5), Jurusan:
1.  Ilmu Komputer (programming). 
2. Teknologi Rekayasa Perangkat Lunak. 
3. Teknik Informatika. 
4. Sistem Informasi.

Kriteria Hard Skills
1. Flutter framework
2. Programming API.
3. Firebase
4. Postman
5. Git

Kriteria Soft Skills:
1. Berkolaborasi dan team work.
2. Berkomunikasi efektif: baik secara interpersonal dan digital
3. Beradaptasi.
4. Kreativitas dan improvisasi.
5. Doyan Ngulik.",7
SALES CONSULTANT ,Kampus Gratis Apps - Platform Kuliah Gratis S1 & D1 bagi Kaum Marjinal di Indonesia,M-Knows Consulting,Kota Jakarta Selatan,"S1 (min semester 5), FAKULTAS:
- Semua Jurusan

Memiliki pengetahuan dan keterampilan : 
Kriteria Hard Skills:
1. Microsoft Office
2. Riset terkait data customer 

Kriteria Hard Skills:
1. Microsoft Office

Kriteria Soft Skills:
1.  Komunikasi yang baik.
2. Bekerja keras dan pantang menyerah
3. Memiliki Inisiatif, kreatifitas dan bertanggung jawab.
4. Menyukai bidang penjualan yang bersifat konsultatif",8
DESAIN GRAFIS & ANIMASI VIDEO,Kampus Gratis Apps - Platform Kuliah Gratis S1 & D1 bagi Kaum Marjinal di Indonesia,M-Knows Consulting,Kota Jakarta Selatan,"S1 (Min Semester 5), FAKULTAS:
1. Desain kreatif & bisnis digital
2. Arsitektur & desain
3. Desain Komunikasi Visual
4. Seni rupa & desain
5. Seni media rekam
6. Teknologi industri
7. Film & Televisi

Kriteria hard skills:
1. Aset Grafis
2. Video Editing
3. Audio Editing
4. 3Dimension
5. Membuat Naskah

Kriteria Soft Skills:
1. Berkolaborasi dan team work.
2. Berkomunikasi efektif: baik secara interpersonal dan digital
3. Beradaptasi.
4. Kreativitas dan improvisasi.
5. Analitis.",17
Marketing,Manufacture Industry Development,Dharma Group,"Cikarang, Kab. Bekasi, Jawa Barat ","Mahasiswa D3 min. semester 4 atau mahasiswa D4/S1 min. semester 6
Jurusan : Teknik Informatika/Bisnis/Manajemen, Marketing/Manajemen Marketing
IPK min. 3.00/4.00

Bersedia ditempatkan di Cikarang, Karawang, dan Cirebon",6
PPIC,Manufacture Industry Development,Dharma Group,"Cikarang, Kab. Bekasi, Jawa Barat ","Mahasiswa D3 min. semester 4 atau mahasiswa D4/S1 min. semester 6

Jurusan : Teknik Industri,  Teknik Logistic, Teknik Mesin, Teknik
IPK min. 3.00/4.00

Bersedia ditempatkan di Cikarang, Karawang, dan Cirebon",6
Digital Transformation,Manufacture Industry Development,Dharma Group,"Cikarang, Kab. Bekasi, Jawa Barat ","Mahasiswa D3 min. semester 4 atau mahasiswa D4/S1 min. semester 6
Jurusan : Sistem Informatika, IT/Pengembangan Software, Teknik Informatika/Sistem Informatika
IPK min. 3.00/4.00

Bersedia ditempatkan di Cikarang, Karawang, dan Cirebon.",10
Maintanance ,Manufacture Industry Development,Dharma Group,"Cikarang, Kab. Bekasi, Jawa Barat ","Mahasiswa D3 min. semester 4 atau mahasiswa D4/S1 min. semester 6
Jurusan : Teknik Mesin, Metatronika/ Teknik Elektro, Teknik Elektro/Mesin
IPK min. 3.00/4.00

Bersedia ditempatkan di Cikarang, Karawang, dan Cirebon",4
Learning & Development,Manufacture Industry Development,Dharma Group,"Cikarang, Kab. Bekasi, Jawa Barat ","Mahasiswa D3 min. semester 4 atau mahasiswa D4/S1 min. semester 6
Jurusan : Pendidikan Teknik, Psikologi, Teknik Industri, Design Visual, Pendidikan Teknik Mesin / Electro
IPK min. 3.00/4.00

Bersedia ditempatkan di Cikarang, Karawang, dan Cirebon",10
Manufacturing,Manufacture Industry Development,Dharma Group,"Cikarang, Kab. Bekasi, Jawa Barat ","Mahasiswa D4/S1 min. semester 6 atau D3 min. semester 4
Jurusan: Teknik Industri, Teknik Mesin, Teknik Mesin/Elektro, Statistika
IPK min. 3.00/4.00

Bersedia ditempatkan di Cikarang, Karawang, atau Cirebon",10
Engineering ,Manufacture Industry Development,Dharma Group,"Cikarang, Kab. Bekasi, Jawa Barat ","Mahasiswa D3 min. semester 4 atau mahasiswa D4/S1 min. semester 6

Jurusan :Teknik Mesin, Teknik Industri, Teknik Elektro, Mekatronika, Informatika, Instrumensi, Teknologi Rekayasa Mekatronika, Teknologi Rekayasa Otomasi, Teknik Perancangan mesin/Design Engineer, Metalurgy, Teknik Komputer/Teknik Informatika
IPK min. 3.00/4.00

Bersedia ditempatkan di Cikarang/  Karawang/ Cirebon
",23
Otomasi Data dan Pelaporan,Optimasi Kualitas Layanan dan Kelembagaan,Ruang Belajar Aqil,Kota Malang,"Jurusan: semua jurusan, diutamakan Manajemen, Administrasi Bisnis, Administrasi Pendidikan, Statistik

Jenjang: D4, S1

Kriteria hardskill:
- penguasaan Google Apps (docs, spreadsheets, forms, Calendar, dll)
- microsoft office
- mampu bekerja dalam lingkungan digital
- mampu menyampaikan gagasan melalui presentasi
- mampu mengolah dan menganalisa data kuantitatif

Kriteria soft skill:
- komunikasi komprehensif
- mengelola aktivitas mandiri
- memiliki inisiatif tinggi
- kreatif
- bekerja dalam tim
- berorientasi hasil dan dampak

Kriteria lainnya:
- mengetahui dasar-dasar pelaporan",2
Produksi Pustaka bagi Pengguna Khusus,Produksi Pustaka Digital untuk Masyarakat,Ruang Belajar Aqil,Kota Malang,"Jurusan: semua jurusan, diutamakan Ekonomi, Kesejahteraan Sosial, Sosiologi, Pendidikan Khusus, Pendidikan Luar Biasa, Pendidikan Luar Sekolah, Psikologi

Jenjang; S1

Kriteria hardskill:
- penguasaan Google Apps (docs, spreadsheets, forms, Calendar, dll)
- microsoft office
- mampu bekerja dalam lingkungan digital
- mampu menyampaikan gagasan melalui presentasi
- familiar dengan layanan pengguna khusus (difabel netra dan/atau marginal ekonomi)

Kriteria soft skill:
- komunikasi komprehensif
- mengelola aktivitas mandiri
- memiliki inisiatif tinggi
- kreatif
- bekerja dalam tim
- berorientasi hasil dan dampak
- mampu bekerja dalam lingkungan digital

Kriteria lainnya:
- mengetahui dasar-dasar layanan publik dan inklusi",1
Produksi Pustaka Visual,Produksi Pustaka Digital untuk Masyarakat,Ruang Belajar Aqil,Kota Malang,"Jurusan: semua jurusan, diutamakan Sastra, Pendidikan Bahasa Indonesia, Pendidikan Anak Usia Dini, Pendidikan Guru SD, Pendidikan Luar Sekolah, Perpustakaan, Komunikasi, Psikologi, Kesejahteraan Sosial, Statistik

Jenjang; D3/D4/S1

Kriteria hardskill:
- penguasaan Google Apps (docs, spreadsheets, forms, Calendar, dll)
- microsoft office
- mampu bekerja dalam lingkungan digital
- mampu menyampaikan gagasan melalui presentasi
- familiar dengan proses produksi pustaka visual (berbasis teks: kepenulisan, berbasis data: infografis)

Kriteria soft skill:
- komunikasi komprehensif
- mengelola aktivitas mandiri
- memiliki inisiatif tinggi
- kreatif
- bekerja dalam tim
- berorientasi hasil dan dampak
- mampu bekerja dalam lingkungan digital

Kriteria lainnya:
-  mampu mengolah dan menganalisa data kuantitatif",3
Pengembangan Kerjasama Program,Pengembangan Kerjasama Pengelolaan Pengetahuan,Ruang Belajar Aqil,Kota Malang,"Jurusan: semua jurusan, diutamakan Manajemen, Ekonomi, Administrasi Bisnis, Komunikasi, Pendidikan Luar Biasa, Pendidikan Masyarakat, Perpustakaan

Jenjang; S1

Kriteria hardskill:
- penguasaan Google Apps (docs, spreadsheets, forms, Calendar, dll)
- microsoft office
- mampu bekerja dalam lingkungan digital
- mampu menyampaikan gagasan melalui presentasi
- mampu menyusun proposal kerjasama

Kriteria soft skill:
- komunikasi komprehensif
- mengelola aktivitas mandiri
- memiliki inisiatif tinggi
- kreatif
- bekerja dalam tim
- berorientasi hasil dan dampak

Kriteria lainnya:
- mengetahui dasar-dasar penelitian kualitatif dan/atau kuantitatif",5
Penyelenggaraan Program dan Layanan Masyarakat,Penyelenggaraan Program dan Layanan Masyarakat,Ruang Belajar Aqil,Kab. Malang,"Jurusan: semua jurusan, diutamakan Pendidikan Anak Usia Dini, Pendidikan Guru SD, Pendidikan Luar Sekolah, Pendidikan Masyarakat, Ekonomi, Manajemen, Perpustakaan, Sosiologi, Psikologi, Kesejahteraan Sosial

Jenjang; D3/D4/S1

Kriteria hardskill:
- penguasaan Google Apps (docs, spreadsheets, forms, Calendar, dll)
- microsoft office
- mampu bekerja dalam lingkungan digital
- mampu menyampaikan gagasan melalui presentasi
- familiar dengan layanan literasi dan pemberdayaan masyarakat

Kriteria soft skill:
- komunikasi komprehensif
- mengelola aktivitas mandiri
- memiliki inisiatif tinggi
- kreatif
- bekerja dalam tim
- berorientasi hasil dan dampak
- mampu bekerja dalam lingkungan digital

Kriteria lainnya:
- mampu bekerja dengan masyarakat dengan profil beragam",76
Pengembangan Modul Pemanfaatan Pustaka Digital,Optimasi Kualitas Layanan dan Kelembagaan,Ruang Belajar Aqil,Kota Malang,"Jurusan: semua jurusan, diutamakan Pendidikan, Pendidikan Luar Sekolah, Pendidikan Masyarakat, Psikologi, Sastra, Ekonomi, Kesehatan Masyarakat, Kesejahteraan Sosial

Jenjang: S1

Kriteria hardskill:
- penguasaan Google Apps (docs, spreadsheets, forms, Calendar, dll)
- microsoft office
- mampu bekerja dalam lingkungan digital
- mampu menyampaikan gagasan melalui presentasi
- familiar dengan penyusunan rencana pembelajaran

Kriteria soft skill:
- komunikasi komprehensif
- mengelola aktivitas mandiri
- memiliki inisiatif tinggi
- kreatif
- bekerja dalam tim
- berorientasi hasil dan dampak

Kriteria lainnya:
- mengetahui dasar-dasar pembelajaran",2
Produksi Pustaka Audio Visual,Produksi Pustaka Digital untuk Masyarakat,Ruang Belajar Aqil,Kota Malang,"Jurusan: semua jurusan, diutamakan Sastra, Pendidikan Bahasa Indonesia, Pendidikan Anak Usia Dini, Pendidikan Guru SD, Pendidikan Luar Sekolah, Perpustakaan, Komunikasi, Psikologi, Kesejahteraan Sosial

Jenjang; D3/D4/S1

Kriteria hardskill:
- penguasaan Google Apps (docs, spreadsheets, forms, Calendar, dll)
- microsoft office
- mampu bekerja dalam lingkungan digital
- mampu menyampaikan gagasan melalui presentasi
- familiar dengan proses produksi pustaka digital

Kriteria soft skill:
- komunikasi komprehensif
- mengelola aktivitas mandiri
- memiliki inisiatif tinggi
- kreatif
- bekerja dalam tim
- berorientasi hasil dan dampak
- mampu bekerja dalam lingkungan digital

Kriteria lainnya:
- mampu bekerja durasi panjang di depan piranti komputer",2
Pengembangan Kemitraan Strategis,Pengembangan Kerjasama Pengelolaan Pengetahuan,Ruang Belajar Aqil,Kota Malang,"Jurusan: semua jurusan, diutamakan Manajemen, Ekonomi, Administrasi Bisnis, Hubungan Internasional, Bisnis Internasional, Komunikasi, Pendidikan Luar Biasa, Pendidikan Masyarakat

Jenjang; S1

Kriteria hardskill:
- penguasaan Google Apps (docs, spreadsheets, forms, Calendar, dll)
- microsoft office
- mampu bekerja dalam lingkungan digital
- mampu menyampaikan gagasan melalui presentasi
- mampu menyusun proposal kemitraan

Kriteria soft skill:
- komunikasi komprehensif
- mengelola aktivitas mandiri
- memiliki inisiatif tinggi
- kreatif
- bekerja dalam tim
- berorientasi hasil dan dampak

Kriteria lainnya:
- mengetahui dasar-dasar penelitian kualitatif dan/atau kuantitatif",5
Pengelolaan Platform dan Publisitas,Optimasi Kualitas Layanan dan Kelembagaan,Ruang Belajar Aqil,Kota Malang,"Jurusan: semua jurusan, diutamakan Manajemen, Komunikasi, Pendidikan Luar Biasa, Pendidikan Masyarakat, Perpustakaan

Jenjang: S1

Kriteria hardskill:
- penguasaan Google Apps (docs, spreadsheets, forms, Calendar, dll)
- microsoft office
- mampu bekerja dalam lingkungan digital
- mampu menyampaikan gagasan melalui presentasi
- familiar dengan pengelolaan media sosial, termasuk IG, YouTube, Spotify, Facebook, LinkedIn

Kriteria soft skill:
- komunikasi komprehensif
- mengelola aktivitas mandiri
- memiliki inisiatif tinggi
- kreatif
- bekerja dalam tim
- berorientasi hasil dan dampak

Kriteria lainnya:
- mengetahui dasar-dasar kampanye digital",2
Produksi Pustaka Auditorial,Produksi Pustaka Digital untuk Masyarakat,Ruang Belajar Aqil,Kota Malang,"Jurusan: semua jurusan, diutamakan Sastra, Pendidikan Bahasa Indonesia, Pendidikan Anak Usia Dini, Pendidikan Guru SD, Pendidikan Luar Sekolah, Perpustakaan, Komunikasi, Psikologi, Kesejahteraan Sosial

Jenjang; D3/D4/S1

Kriteria hardskill:
- penguasaan Google Apps (docs, spreadsheets, forms, Calendar, dll)
- microsoft office
- mampu bekerja dalam lingkungan digital
- mampu menyampaikan gagasan melalui presentasi
- familiar dengan proses produksi pustaka digital

Kriteria soft skill:
- komunikasi komprehensif
- mengelola aktivitas mandiri
- memiliki inisiatif tinggi
- kreatif
- bekerja dalam tim
- berorientasi hasil dan dampak
- mampu bekerja dalam lingkungan digital

Kriteria lainnya:
- mampu bekerja durasi panjang di depan piranti komputer",2
Testing Analis Data,Satu Data Magang Kebun,WarTek,Kota Padang,- dapat menganalis data,18
4. Data analytic,Product Business Development DPLK Activity Program,Bank BRI,Kota Jakarta Pusat,"- Mahasiswa  perguruan tinggi  aktif yang menempuh semester 5 atau 6
- Berasal dari Jurusan Ekonomi Akuntansi
- Memahami pengetahuan dasar akuntansi
- Mampu berkomunikasi dengan baik dan  bekerja dalam kelompok
",1
Technical Writer (Remote& Digital  Channel Transformation Team),Distribution Channel Transformation (BRIBEST),Bank BRI,Kota Jakarta Pusat,"●	Mahasiswa Teknologi Informasi atau Sistem Informasi
●	Berkomunikasi dengan baik dalam bekerja kelompok",1
19. UI/UX Designer,New Finance System,Bank BRI,Kota Jakarta Pusat,"-	Mahasiswa perguruan tinggi aktif yang menempuh semester 5 atau 6
-	Berasal Jurusan Sistem Informasi, Teknologi Informasi, Ilmu Komputer, Design Grafis, Statistika, Matematika
-	Mampu berkomunikasi dengan baik dan bekerja dalam kelompok 
-	Memahami Sketch
-	Figma
-	User research
-	Good communication & negotiation skills
",2
Corporate Strategy,"BRIvolution 2.0, Corporate Strategy Evaluation 2023",Bank BRI,Kota Jakarta Pusat,"-	Mahasiswa perguruan tinggi aktif yang menempuh semester 5 atau 6
-	Berasal Jurusan Ekonomi, Administrasi Bisnis, 
-	Mampu berkomunikasi dengan baik dan bekerja dalam kelompok 
-	Memiliki kemampuan Bahasa Inggris yang mencukupi",4
2. Business Analyst / Data Analytics (Strategy & Policy Team),Distribution Channel Transformation (BRIBEST),Bank BRI,Kota Jakarta Pusat,"●	Good command in english : Min TOEFL 550, ibt 100, IELTS band 7
●	Mahasiswa ekonomi atau bisnis dari reputable university",1
Research & Analytics,BRIvolution 2.0 Transformation Accelerator,Bank BRI,Kota Jakarta Pusat,"-Mahasiswa perguruan tinggi aktif yang menempuh semester 5 atau 6
-Berasal Jurusan Ilmu Komunikasi, Statistik, Ilmu Ekonomi/Akuntansi, Desain Grafis, dan DKV
-Mampu berkomunikasi dengan baik dan bekerja dalam kelompok",2
Komunikasi & Public Relations,Monitoring BRIvolution 2.0,Bank BRI,Kota Jakarta Pusat,"•	Mahasiswa perguruan tinggi aktif yang menempuh semester 5 atau 6
•	Berasal Jurusan Komunikasi/Public Relations, Management dan Statistik,  
•	Mampu berkomunikasi dengan baik dan bekerja dalam kelompok
•	Menguasai Ilmu Komunikasi/Public Relations perusahaan
•	Memiliki banyak ide kreatif, inovatif, komunikasi yang baik dan mampu bekerja dalam tim",2
Business analyst (Branch Automation & Digitazion Team),Distribution Channel Transformation (BRIBEST),Bank BRI,Kota Jakarta Pusat,"●	Mahasiswa Teknologi Informasi atau Sistem Informasi
●	Berkomunikasi dengan baik dalam bekerja kelompok",2
Data Analyst & Data Engineer,New Finance System,Bank BRI,Kota Jakarta Pusat,"-	Mahasiswa perguruan tinggi aktif yang menempuh semester 5 atau 6
-	Berasal Jurusan Sistem Informasi, Teknologi Informasi, Ilmu Komputer, Design Grafis, Statistika, Matematika
-	Mampu berkomunikasi dengan baik dan bekerja dalam kelompok 
-	Memahami dasar statistika
-	Machine Learning
-	Data Visualisasi
-	Memahami query SQL/NoSQL
-	Menguasai struktur database baik relational maupun NoSQL",1
